hotel,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,stay_length,total_guests,arrival_date
Resort Hotel,1,60,2,5,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,169.0,0,Transient,107.0,0,2,Canceled,2015-11-05,7,2.0,2015-07-01
Resort Hotel,0,77,2,5,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,94.0,0,0,Check-Out,2015-08-07,7,2.0,2015-07-01
Resort Hotel,0,99,2,5,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,169.0,0,Transient,87.3,1,1,Check-Out,2015-08-07,7,2.0,2015-07-01
Resort Hotel,0,118,4,10,1,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,14.0,169.0,0,Transient,62.0,0,2,Check-Out,,14,2.0,2015-07-01
Resort Hotel,0,95,4,11,2,0.0,0,Bed & Breakfast,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241.0,169.0,0,Transient,63.86,0,0,Check-Out,,15,2.0,2015-07-01
Resort Hotel,1,96,2,8,2,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,169.0,0,Transient,108.3,0,2,Canceled,,10,2.0,2015-07-01
Resort Hotel,0,69,2,4,2,0.0,0,Bed & Breakfast,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175.0,169.0,0,Transient,65.5,0,0,Check-Out,2015-08-07,6,2.0,2015-07-02
Resort Hotel,1,45,1,3,3,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,169.0,0,Transient,108.8,0,1,Canceled,,4,2.0,2015-07-02
Resort Hotel,1,40,1,3,3,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,169.0,0,Transient,108.8,0,1,Canceled,,4,2.0,2015-07-02
Resort Hotel,0,15,1,3,2,0.0,0,Bed & Breakfast,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,169.0,0,Transient,98.0,0,0,Check-Out,2015-06-07,4,2.0,2015-07-02
Resort Hotel,0,36,1,3,3,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,169.0,0,Transient,108.8,0,1,Check-Out,2015-06-07,4,2.0,2015-07-02
Resort Hotel,1,43,1,3,3,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,169.0,0,Transient,108.8,0,0,Canceled,,4,2.0,2015-07-02
Resort Hotel,0,70,2,3,2,0.0,0,Half Board,ROU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,169.0,0,Transient,137.0,0,1,Check-Out,2015-07-07,5,2.0,2015-07-02
Resort Hotel,1,45,2,3,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,169.0,0,Transient,117.81,0,0,Canceled,,5,2.0,2015-07-02
Resort Hotel,0,45,2,3,2,0.0,0,Bed & Breakfast,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,169.0,0,Contract,79.5,0,0,Check-Out,2015-07-07,5,2.0,2015-07-02
Resort Hotel,0,16,2,3,2,0.0,0,Bed & Breakfast,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,14.0,169.0,0,Transient,123.0,0,0,Check-Out,2015-07-07,5,2.0,2015-07-02
Resort Hotel,0,107,2,5,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,110.7,0,2,Check-Out,2015-09-07,7,2.0,2015-07-02
Resort Hotel,1,47,2,5,2,2.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,169.0,0,Transient,153.0,0,0,Canceled,2015-02-06,7,2.0,2015-07-02
Resort Hotel,0,96,2,5,2,0.0,0,Bed & Breakfast,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,169.0,0,Transient,58.95,0,1,Check-Out,2015-09-07,7,2.0,2015-07-02
Resort Hotel,0,113,2,5,2,0.0,0,Bed & Breakfast,NOR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156.0,169.0,0,Transient-Party,82.88,0,2,Check-Out,2015-09-07,7,2.0,2015-07-02
Resort Hotel,0,90,2,5,2,0.0,0,Half Board,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243.0,169.0,0,Contract,82.35,0,0,Check-Out,2015-09-07,7,2.0,2015-07-02
Resort Hotel,0,50,2,5,2,0.0,0,Half Board,IRL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,241.0,169.0,0,Transient,119.35,0,1,Check-Out,2015-09-07,7,2.0,2015-07-02
Resort Hotel,0,113,2,5,2,0.0,0,Bed & Breakfast,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,169.0,0,Transient-Party,67.58,0,2,Check-Out,2015-09-07,7,2.0,2015-07-02
Resort Hotel,0,93,3,8,2,0.0,0,Bed & Breakfast,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,169.0,0,Contract,56.01,0,0,Check-Out,,11,2.0,2015-07-02
Resort Hotel,0,76,4,10,2,0.0,0,Bed & Breakfast,OMN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,169.0,0,Contract,110.7,0,0,Check-Out,,14,2.0,2015-07-02
Resort Hotel,0,3,0,1,2,0.0,0,Bed & Breakfast,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,169.0,0,Transient,88.2,1,0,Check-Out,2015-03-07,1,2.0,2015-07-02
Resort Hotel,0,1,0,1,2,0.0,0,Bed & Breakfast,ARG,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,169.0,0,Transient,147.0,1,0,Check-Out,2015-03-07,1,2.0,2015-07-02
Resort Hotel,0,1,0,1,2,2.0,0,Bed & Breakfast,ESP,Direct,Direct,0,0,0,C,C,0,No Deposit,14.0,169.0,0,Transient,107.0,1,2,Check-Out,2015-03-07,1,2.0,2015-07-02
Resort Hotel,0,0,0,1,2,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,14.0,169.0,0,Transient,147.0,0,0,Check-Out,2015-03-07,1,2.0,2015-07-02
Resort Hotel,0,0,0,1,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,169.0,0,Transient,117.9,0,2,Check-Out,2015-03-07,1,2.0,2015-07-02
Resort Hotel,0,0,0,1,2,0.0,0,Bed & Breakfast,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,169.0,0,Transient,123.0,0,0,Check-Out,2015-03-07,1,2.0,2015-07-02
Resort Hotel,0,14,0,2,2,0.0,0,Bed & Breakfast,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,242.0,169.0,0,Transient,98.0,0,1,Check-Out,2015-04-07,2,2.0,2015-07-02
Resort Hotel,0,10,0,2,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,169.0,0,Transient,117.81,0,0,Check-Out,2015-04-07,2,2.0,2015-07-02
Resort Hotel,0,5,0,2,2,0.0,0,Bed & Breakfast,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,169.0,0,Transient,135.0,1,2,Check-Out,2015-04-07,2,2.0,2015-07-02
Resort Hotel,0,17,0,3,2,0.0,0,Bed & Breakfast,ESP,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,169.0,0,Transient,133.0,0,1,Check-Out,2015-05-07,3,2.0,2015-07-02
Resort Hotel,0,93,0,3,2,0.0,0,Bed & Breakfast,IRL,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115.0,169.0,0,Contract,58.95,0,0,Check-Out,2015-05-07,3,2.0,2015-07-02
Resort Hotel,1,3,0,3,2,0.0,0,Half Board,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,136.33,0,2,Canceled,,3,2.0,2015-07-02
Resort Hotel,0,10,0,2,2,2.0,0,Bed & Breakfast,USA,Online TA,TA/TO,0,0,0,G,H,0,No Deposit,240.0,169.0,0,Transient,153.0,1,0,Check-Out,2015-05-07,2,2.0,2015-07-03
Resort Hotel,0,3,0,2,2,0.0,0,Bed & Breakfast,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,169.0,0,Transient,110.5,0,0,Check-Out,2015-05-07,2,2.0,2015-07-03
Resort Hotel,0,51,0,2,2,0.0,0,Bed & Breakfast,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,169.0,0,Transient,97.0,0,0,Check-Out,2015-05-07,2,2.0,2015-07-03
Resort Hotel,1,71,0,2,3,0.0,0,Bed & Breakfast,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,169.0,0,Transient,110.3,0,2,Canceled,,2,2.0,2015-07-03
Resort Hotel,1,63,0,2,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,82.0,0,2,Canceled,,2,2.0,2015-07-03
Resort Hotel,1,62,0,2,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,169.0,0,Transient,97.0,0,1,Canceled,2015-03-07,2,2.0,2015-07-03
Resort Hotel,1,101,0,2,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,73.8,0,1,Canceled,2015-12-06,2,2.0,2015-07-03
Resort Hotel,0,2,0,2,2,0.0,0,Half Board,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,169.0,0,Transient,91.5,0,0,Check-Out,2015-05-07,2,2.0,2015-07-03
Resort Hotel,0,15,0,2,2,0.0,0,Bed & Breakfast,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,114.5,0,0,Check-Out,2015-05-07,2,2.0,2015-07-03
Resort Hotel,1,51,0,2,3,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,169.0,0,Transient,110.3,0,0,Canceled,2015-09-06,2,2.0,2015-07-03
Resort Hotel,0,3,1,2,2,0.0,0,Bed & Breakfast,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,90.9,1,0,Check-Out,2015-06-07,3,2.0,2015-07-03
Resort Hotel,1,48,1,2,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,169.0,0,Transient,123.0,0,0,Canceled,,3,2.0,2015-07-03
Resort Hotel,0,2,2,2,1,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,122.0,0,0,Check-Out,2015-07-07,4,2.0,2015-07-03
Resort Hotel,0,72,2,2,2,0.0,0,Bed & Breakfast,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,105.0,169.0,0,Transient,110.7,1,0,Check-Out,2015-07-07,4,2.0,2015-07-03
Resort Hotel,0,81,2,6,3,0.0,0,Bed & Breakfast,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5.0,169.0,0,Transient,85.86,0,0,Check-Out,2015-11-07,8,2.0,2015-07-03
Resort Hotel,0,99,2,7,2,0.0,0,Bed & Breakfast,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,169.0,0,Contract,58.95,0,0,Check-Out,2015-12-07,9,2.0,2015-07-03
Resort Hotel,1,368,3,7,2,0.0,0,Bed & Breakfast,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,169.0,0,Contract,55.68,0,0,Canceled,,10,2.0,2015-07-03
Resort Hotel,0,364,3,7,2,0.0,0,Bed & Breakfast,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,169.0,0,Contract,55.68,0,0,Check-Out,,10,2.0,2015-07-03
Resort Hotel,1,81,3,7,2,0.0,0,Half Board,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,169.0,0,Transient,124.0,0,1,Canceled,2015-09-06,10,2.0,2015-07-03
Resort Hotel,0,99,3,7,2,0.0,0,Half Board,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,169.0,0,Contract,111.15,0,0,Check-Out,,10,2.0,2015-07-03
Resort Hotel,0,324,4,10,2,0.0,0,Half Board,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,169.0,0,Contract,134.73,0,0,Check-Out,,14,2.0,2015-07-03
Resort Hotel,0,69,4,10,2,0.0,0,Bed & Breakfast,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,241.0,169.0,0,Transient,92.45,0,1,Check-Out,,14,2.0,2015-07-03
Resort Hotel,1,79,6,15,2,1.0,0,Bed & Breakfast,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242.0,169.0,0,Transient,108.73,0,2,Canceled,,21,2.0,2015-07-03
Resort Hotel,0,12,0,1,2,0.0,0,Bed & Breakfast,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,169.0,0,Transient,73.8,0,0,Check-Out,2015-04-07,1,2.0,2015-07-03
Resort Hotel,0,9,0,1,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,169.0,0,Transient,98.0,1,2,Check-Out,2015-04-07,1,2.0,2015-07-03
Resort Hotel,0,1,0,1,2,0.0,0,Bed & Breakfast,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,169.0,0,Transient,131.0,0,1,Check-Out,2015-04-07,1,2.0,2015-07-03
Resort Hotel,0,21,0,1,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,169.0,0,Transient,123.0,0,0,Check-Out,2015-04-07,1,2.0,2015-07-03
Resort Hotel,0,9,0,1,2,0.0,0,Bed & Breakfast,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,169.0,0,Transient,94.71,0,0,Check-Out,2015-04-07,1,2.0,2015-07-03
Resort Hotel,0,109,0,1,2,0.0,0,Bed & Breakfast,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,123.0,0,2,Check-Out,2015-04-07,1,2.0,2015-07-03
Resort Hotel,1,109,0,2,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,123.0,0,1,Canceled,,2,2.0,2015-07-03
Resort Hotel,1,72,0,2,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,169.0,0,Transient,73.8,0,1,Canceled,,2,2.0,2015-07-03
Resort Hotel,1,63,2,5,2,0.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,169.0,0,Transient,117.0,0,1,Canceled,,7,2.0,2015-07-03
Resort Hotel,0,63,2,5,3,0.0,0,Half Board,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,105.0,169.0,0,Transient,196.54,0,1,Check-Out,2015-10-07,7,2.0,2015-07-03
Resort Hotel,0,101,2,5,2,1.0,0,Bed & Breakfast,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,169.0,0,Transient,99.3,1,2,Check-Out,2015-10-07,7,2.0,2015-07-03
Resort Hotel,0,102,2,5,2,0.0,0,Bed & Breakfast,DEU,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,169.0,0,Transient,90.95,0,0,Check-Out,2015-10-07,7,2.0,2015-07-03
Resort Hotel,0,4,2,1,2,0.0,0,Bed & Breakfast,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,169.0,0,Transient,92.67,0,1,Check-Out,2015-07-07,3,2.0,2015-07-04
Resort Hotel,0,98,2,1,2,0.0,0,Bed & Breakfast,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8.0,169.0,0,Transient,71.55,1,0,Check-Out,2015-07-07,3,2.0,2015-07-04
Resort Hotel,0,92,2,4,1,2.0,0,Bed & Breakfast,FRA,Offline TA/TO,TA/TO,0,0,0,F,F,0,No Deposit,241.0,169.0,0,Transient,96.49,0,2,Check-Out,2015-10-07,6,2.0,2015-07-04
